time,TP9,AF7,AF8,TP10
1691552232537,-38.57421875,-20.5078125,-16.6015625,-30.2734375
1691552232583.875,-33.203125,-37.59765625,-26.3671875,-29.78515625
1691552232630.75,-35.64453125,-27.34375,-26.3671875,-22.4609375
1691552232677.625,-34.1796875,-18.5546875,-47.8515625,-52.24609375
1691552232724.5,-42.96875,-20.99609375,-37.59765625,-32.71484375
1691552232771.375,-41.9921875,-27.83203125,-34.1796875,-42.96875
1691552232818.25,-51.7578125,-45.41015625,-32.2265625,-37.59765625
1691552232865.125,-28.3203125,-29.296875,-33.203125,-32.2265625
1691552232912,-37.59765625,-26.85546875,-24.90234375,-32.2265625
1691552232958.875,-49.31640625,-49.8046875,-30.2734375,-45.8984375
1691552233005.75,-32.2265625,-51.26953125,-35.15625,-22.94921875
1691552233052.625,-31.25,-29.78515625,-20.5078125,-31.73828125
1691552233099.5,-47.8515625,-32.2265625,-27.83203125,-32.2265625
1691552233146.375,-34.1796875,-32.71484375,-39.55078125,-49.31640625
1691552233193.25,-37.109375,-36.1328125,-26.85546875,-41.50390625
1691552233240.125,-40.52734375,-38.57421875,-37.59765625,-41.015625
1691552233287,-31.73828125,-46.38671875,-32.2265625,-38.0859375
1691552233333.875,-29.296875,-19.04296875,-27.83203125,-32.71484375
1691552233380.75,-42.48046875,-33.69140625,-29.78515625,-34.66796875
1691552233427.625,-35.15625,-34.66796875,-28.80859375,-43.45703125
1691552233474.5,-33.203125,-32.71484375,-37.109375,-38.57421875
1691552233521.375,-23.92578125,-36.62109375,-28.3203125,-30.2734375
1691552233568.25,-26.85546875,-35.64453125,-24.4140625,-38.57421875
1691552233615.125,-31.73828125,-47.36328125,-27.34375,-26.3671875
1691552233662,-33.203125,-37.59765625,-35.64453125,-34.1796875
1691552233708.875,-35.64453125,-41.50390625,-36.62109375,-50.29296875
1691552233755.75,-50.78125,-43.9453125,-34.66796875,-49.31640625
1691552233802.625,-32.2265625,-43.9453125,-41.9921875,-40.0390625
1691552233849.5,-45.41015625,-36.62109375,-40.0390625,-41.015625
1691552233896.375,-33.203125,-28.80859375,-36.62109375,-37.59765625
1691552233943.25,-37.59765625,-38.57421875,-31.73828125,-48.828125
1691552233990.125,-41.9921875,-28.80859375,-42.48046875,-54.19921875
1691552234037,-62.01171875,-31.73828125,-32.71484375,-55.17578125
1691552234083.875,-129.39453125,-14.6484375,-22.94921875,-148.4375
1691552234130.75,-136.71875,7.8125,-42.96875,-149.90234375
1691552234177.625,-28.3203125,-39.55078125,-56.15234375,-51.26953125
1691552234224.5,-7.8125,-69.82421875,-53.22265625,-1.953125
1691552234271.375,4.39453125,-46.38671875,-49.31640625,-0.48828125
1691552234318.25,-9.765625,-49.8046875,-44.921875,-19.04296875
1691552234365.125,-18.06640625,-41.015625,-37.59765625,-20.01953125
1691552234412,-34.66796875,-40.52734375,-46.38671875,-33.69140625
1691552234458.875,-30.2734375,-44.921875,-38.57421875,-40.0390625
1691552234505.75,-34.1796875,-46.38671875,-39.55078125,-41.015625
1691552234552.625,-29.296875,-51.26953125,-34.66796875,-30.76171875
1691552234599.5,-39.0625,-36.1328125,-29.296875,-35.15625
1691552234646.375,-34.66796875,-32.71484375,-36.1328125,-35.64453125
1691552234693.25,-29.78515625,-28.80859375,-31.25,-28.80859375
1691552234740.125,-35.15625,-37.59765625,-31.73828125,-38.57421875
1691552234787,-41.015625,-47.8515625,-26.85546875,-27.83203125
1691552234833.875,-26.3671875,-44.921875,-29.296875,-21.97265625
1691552234880.75,-36.1328125,-32.2265625,-35.15625,-40.0390625
1691552234927.625,-40.0390625,-49.8046875,-22.4609375,-25.87890625
1691552234974.5,-44.921875,-37.109375,-37.109375,-46.38671875
1691552235021.375,-33.203125,-21.97265625,-17.578125,-15.13671875
1691552235068.25,-40.52734375,-35.64453125,-31.25,-46.38671875
1691552235115.125,-57.6171875,-50.29296875,-30.2734375,-45.8984375
1691552235162,-39.0625,-35.15625,-24.90234375,-44.921875
1691552235208.875,-52.734375,-54.6875,-31.25,-41.015625
1691552235255.75,-36.62109375,-41.015625,-41.50390625,-38.0859375
1691552235302.625,-30.76171875,-35.64453125,-32.2265625,-37.109375
1691552235349.5,-36.1328125,-35.64453125,-23.92578125,-21.484375
1691552235396.375,-39.0625,-31.25,-18.5546875,-35.15625
1691552235443.25,-30.76171875,-27.83203125,-14.6484375,-16.11328125
1691552235490.125,-40.0390625,-48.33984375,-28.80859375,-60.05859375
